ID,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
1,AACG,ATA Creativity Global American Depositary Shares,$1.54 ,0.06,4.05%,48320457,China,2008,8358,Consumer Discretionary,Service to the Health Industry
2,AACI,Armada Acquisition Corp. I Common Stock,$10.06 ,0.042,0.42%,208337570,United States,2021,1334,Industrials,Consumer Electronics/Appliances
3,AADI,Aadi Bioscience Inc. Common Stock,$12.40 ,-0.3,-2.36%,302499451,United States,,210559,Health Care,Biotechnology: Pharmaceutical Preparations
4,AAL,American Airlines Group Inc. Common Stock,$12.81 ,-0.12,-0.93%,8325230362,United States,,26337454,Consumer Discretionary,Air Freight/Delivery Services
5,AAME,Atlantic American Corporation Common Stock,$2.59 ,0.1761,7.30%,52751123,United States,,9672,Finance,Life Insurance
6,AAOI,Applied Optoelectronics Inc. Common Stock,$2.15 ,0.03,1.42%,61325996,United States,2013,157316,Technology,Semiconductors
7,AAON,AAON Inc. Common Stock,$76.34 ,-1.93,-2.47%,4061252655,United States,,843938,Industrials,Industrial Machinery/Components
8,AAPL,Apple Inc. Common Stock,$134.51 ,-1.99,-1.46%,2.33E+12,United States,1980,150229874,Technology,Computer Manufacturing
9,AATC,Autoscope Technologies Corporation Common Stock,$5.03 ,0,0.00%,27200766,United States,,6480,Industrials,Industrial Machinery/Components
10,AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$100.05 ,-0.5,-0.50%,2837838010,United States,,1651678,Consumer Discretionary,Transportation Services
11,ABCB,Ameris Bancorp Common Stock,$46.08 ,-0.74,-1.58%,3195726751,United States,1994,894035,Finance,Major Banks
12,ABCL,AbCellera Biologics Inc. Common Shares,$10.21 ,-0.19,-1.83%,2921085360,Canada,2020,3220850,Health Care,Pharmaceuticals and Biotechnology
13,ABCM,Abcam plc American Depositary Shares,$15.53 ,-0.1,-0.64%,3560592716,United Kingdom,2020,997669,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
14,ABEO,Abeona Therapeutics Inc. Common Stock,$2.66 ,-0.19,-6.67%,45687625,United States,,292242,Health Care,Biotechnology: Pharmaceutical Preparations
15,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,$10.06 ,-0.0099,-0.10%,194487386,United States,2021,3569,Finance,Business Services
16,ABIO,ARCA biopharma Inc. Common Stock,$2.43 ,0.11,4.74%,35016647,United States,,56518,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
17,ABMD,ABIOMED Inc. Common Stock,$381.00 ,0.84,0.22%,17179741104,United States,,1538409,Health Care,Medical/Dental Instruments
18,ABNB,Airbnb Inc. Class A Common Stock,$89.57 ,-1.04,-1.15%,53419459057,United States,2020,6812849,Consumer Discretionary,Hotels/Resorts
19,ABOS,Acumen Pharmaceuticals Inc. Common Stock,$5.72 ,0.45,8.54%,234092624,United States,2021,153981,Health Care,Biotechnology: Pharmaceutical Preparations
20,ABSI,Absci Corporation Common Stock,$2.50 ,-0.11,-4.22%,230987273,United States,2021,820284,Health Care,Biotechnology: Pharmaceutical Preparations
21,ABST,Absolute Software Corporation Common Stock,$9.97 ,-0.08,-0.80%,520897366,Canada,2020,79234,,
22,ABUS,Arbutus Biopharma Corporation Common Stock,$2.71 ,0,0.00%,424025800,Canada,,3069211,Health Care,Pharmaceuticals and Biotechnology
23,ABVC,ABVC BioPharma Inc. Common Stock,$0.70 ,0,0.00%,22842630,United States,,20494,Health Care,Biotechnology: Pharmaceutical Preparations
24,ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,$10.14 ,0,0.00%,380250000,United States,2022,25824,Industrials,Consumer Electronics/Appliances
25,ACAC,Acri Capital Acquisition Corporation Class A Common Stock,$10.12 ,-0.04,-0.39%,109106250,United States,2022,21429,Industrials,Consumer Electronics/Appliances
26,ACACU,Acri Capital Acquisition Corporation Unit,$10.15 ,0,0.00%,0,United States,2022,77,Industrials,Consumer Electronics/Appliances
27,ACACW,Acri Capital Acquisition Corporation Warrant,$0.04 ,0,0.00%,0,United States,2022,1,Industrials,Consumer Electronics/Appliances
28,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$15.39 ,0.32,2.12%,2492117998,United States,2004,1819816,Health Care,Biotechnology: Pharmaceutical Preparations
29,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,$9.96 ,0,0.00%,429525000,United States,2021,8608,Industrials,Consumer Electronics/Appliances
30,ACAHW,Atlantic Coastal Acquisition Corp. Warrant,$0.01 ,-0.0016,-13.79%,0,United States,2021,1500,Industrials,Consumer Electronics/Appliances
31,ACAX,Alset Capital Acquisition Corp. Class A Common Stock,$9.98 ,0,0.00%,112324900,United States,2022,10,Industrials,Consumer Electronics/Appliances
32,ACAXW,Alset Capital Acquisition Corp. Warrant,$0.21 ,0.1457,242.83%,0,United States,2022,35777,Industrials,Consumer Electronics/Appliances
33,ACB,Aurora Cannabis Inc. Common Shares,$1.04 ,0,0.00%,337305886,Canada,,11341595,Health Care,Pharmaceuticals and Biotechnology
34,ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$10.67 ,0.06,0.57%,64596180,Hong Kong,2021,1553,Consumer Discretionary,Catalog/Specialty Distribution
35,ACCD,Accolade Inc. Common Stock,$8.46 ,0.08,0.96%,608603179,United States,2020,728091,Technology,Interactive Media
36,ACDC,ProFrac Holding Corp. Class A Common Stock,$21.70 ,-0.23,-1.05%,1170908000,United States,2022,1205280,Industrials,Metal Fabrications
37,ACDCW,ProFrac Holding Corp. Warrant,$0.05 ,0.0001,0.20%,0,United States,,273659,Industrials,Metal Fabrications
38,ACER,Acer Therapeutics Inc. Common Stock (DE),$3.33 ,0.11,3.42%,64974547,United States,,445488,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
39,ACET,Adicet Bio Inc. Common Stock ,$9.40 ,-0.55,-5.53%,184144383,United States,2018,1463245,Health Care,Biotechnology: Pharmaceutical Preparations
40,ACGL,Arch Capital Group Ltd. Common Stock,$61.03 ,0.28,0.46%,22573350838,Bermuda,,6438371,Finance,Property-Casualty Insurers
41,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$18.76 ,0.11,0.59%,0,Bermuda,,46937,Finance,Property-Casualty Insurers
42,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$21.37 ,0.09,0.42%,0,Bermuda,,28725,Finance,Property-Casualty Insurers
43,ACHC,Acadia Healthcare Company Inc. Common Stock,$84.70 ,-0.16,-0.19%,7705727591,United States,,1538280,Health Care,Hospital/Nursing Management
44,ACHL,Achilles Therapeutics plc American Depositary Shares,$0.85 ,-0.2501,-22.74%,34793855,United Kingdom,2021,1285208,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
45,ACHV,Achieve Life Sciences Inc. Common Shares,$2.50 ,0,0.00%,44742573,United States,,28888,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
46,ACIU,AC Immune SA Common Stock,$1.94 ,-0.1,-4.90%,161822186,Switzerland,2016,609455,Health Care,Biotechnology: Pharmaceutical Preparations
47,ACIW,ACI Worldwide Inc. Common Stock,$20.46 ,0.24,1.19%,2299174761,United States,,2415162,Technology,EDP Services
48,ACLS,Axcelis Technologies Inc. Common Stock,$81.43 ,-1.33,-1.61%,2674863289,United States,2000,775553,Technology,Industrial Machinery/Components
49,ACLX,Arcellx Inc. Common Stock,$31.85 ,0.82,2.64%,1396746492,United States,2022,1147597,Health Care,Biotechnology: Pharmaceutical Preparations
50,ACMR,ACM Research Inc. Class A Common Stock,$8.95 ,-0.19,-2.08%,532169927,United States,2017,767753,Technology,Industrial Machinery/Components
51,ACNB,ACNB Corporation Common Stock,$39.34 ,1.69,4.49%,334800631,United States,,78260,Finance,Major Banks
52,ACNT,Ascent Industries Co. Common Stock,$10.08 ,-0.11,-1.08%,102838992,United States,,7288,Industrials,Steel/Iron Ore
53,ACON,Aclarion Inc. Common Stock,$0.61 ,0.0241,4.11%,4770342,United States,2022,42664,Technology,Retail: Computer Software & Peripheral Equipment
54,ACONW,Aclarion Inc. Warrant,$0.21 ,0,0.00%,0,United States,2022,1,Technology,Retail: Computer Software & Peripheral Equipment
55,ACOR,Acorda Therapeutics Inc. Common Stock,$0.58 ,0.03,5.46%,14115932,United States,2006,79818,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
56,ACQR,Independence Holdings Corp. Class A Ordinary Share,$10.07 ,0.01,0.10%,624225554,United States,2021,687846,Finance,Business Services
57,ACQRU,Independence Holdings Corp. Units,$10.04 ,-0.03,-0.30%,0,United States,2021,200,Finance,Business Services
58,ACQRW,Independence Holdings Corp. Warrant,$0.02 ,0.0043,27.39%,0,United States,2021,100001,Finance,Business Services
59,ACRS,Aclaris Therapeutics Inc. Common Stock,$15.59 ,-0.06,-0.38%,1039590948,United States,2015,662670,Health Care,Biotechnology: Commercial Physical & Biological Resarch
60,ACRV,Acrivon Therapeutics Inc. Common Stock,$11.99 ,0.47,4.08%,254905278,United States,2022,18090,Health Care, Medicinal Chemicals and Botanical Products 
61,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$2.39 ,-0.02,-0.83%,17803985,United States,2011,105069,Health Care, Medicinal Chemicals and Botanical Products 
62,ACST,Acasti Pharma Inc. Class A Common Stock,$0.38 ,0.0266,7.55%,16908263,Canada,,172831,Health Care,Pharmaceuticals and Biotechnology
63,ACT,Enact Holdings Inc. Common Stock,$23.75 ,0.14,0.59%,3867512083,United States,2021,225864,Finance,Specialty Insurers
64,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.59 ,-0.01,-0.28%,156309591,United States,,273888,Miscellaneous,Multi-Sector Companies
65,ACVA,ACV Auctions Inc. Class A Common Stock,$8.75 ,-0.16,-1.80%,1384378931,United States,2021,1908002,Industrials,Metal Fabrications
66,ACXP,Acurx Pharmaceuticals Inc. Common Stock,$3.83 ,-0.07,-1.80%,44399692,United States,2021,24083,Health Care,Biotechnology: Pharmaceutical Preparations
67,ADAG,Adagene Inc. American Depositary Shares,$1.46 ,0.14,10.61%,63397849,China,2021,326427,Health Care,Biotechnology: Pharmaceutical Preparations
68,ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,$10.22 ,0,0.00%,308516250,United States,2021,101684,Finance,Business Services
69,ADALU,Anthemis Digital Acquisitions I Corp Unit,$10.18 ,-0.09,-0.88%,0,United States,2021,100,Finance,Business Services
70,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$1.30 ,-0.06,-4.41%,212977723,United Kingdom,2015,1081598,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
71,ADBE,Adobe Inc. Common Stock,$338.54 ,9.83,2.99%,1.57E+11,United States,1986,11929908,Technology,Computer Software: Prepackaged Software
72,ADD,Color Star Technology Co. Ltd. Ordinary Shares,$0.69 ,-0.0527,-7.10%,4531779,United States,,107743,,
73,ADEA,Adeia Inc. Common Stock,$9.68 ,-0.05,-0.51%,1016971885,United States,2003,3409180,Technology,EDP Services
74,ADER,26 Capital Acquisition Corp. Class A Common Stock,$10.07 ,0.05,0.50%,346156250,United States,2021,909,Industrials,Consumer Electronics/Appliances
75,ADERW,26 Capital Acquisition Corp. Warrant,$0.27 ,-0.0001,-0.04%,0,United States,2021,69953,Industrials,Consumer Electronics/Appliances
76,ADES,Advanced Emissions Solutions Inc. Common Stock,$2.29 ,0.03,1.33%,43763984,United States,,57412,Industrials,Industrial Specialties
77,ADI,Analog Devices Inc. Common Stock,$166.82 ,0.73,0.44%,84960748878,United States,,7393706,Technology,Semiconductors
78,ADIL,Adial Pharmaceuticals Inc Common Stock,$0.25 ,0.0072,2.96%,6716176,United States,2018,130269,Health Care,Biotechnology: Pharmaceutical Preparations
79,ADILW,Adial Pharmaceuticals Inc Warrant,$0.02 ,0,0.00%,0,United States,2018,12000,Health Care,Biotechnology: Pharmaceutical Preparations
80,ADMA,ADMA Biologics Inc Common Stock,$3.61 ,0.05,1.40%,797460483,United States,,4450829,Health Care,Biotechnology: Pharmaceutical Preparations
81,ADMP,Adamis Pharmaceuticals Corporation Common Stock,$0.15 ,-0.0201,-11.82%,22497490,United States,,964243,Health Care,Biotechnology: Pharmaceutical Preparations
82,ADN,Advent Technologies Holdings Inc. Class A Common Stock,$2.16 ,0.18,9.09%,44146529,United States,2018,888307,Utilities,Power Generation
83,ADNWW,Advent Technologies Holdings Inc. Warrant,$0.26 ,0.04,18.18%,0,United States,2018,53023,Utilities,Power Generation
84,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.48 ,0,0.00%,50624950,United States,2020,4913,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
85,ADOCW,Edoc Acquisition Corp. Warrant,$0.03 ,-0.0001,-0.33%,0,United States,2020,1001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
86,ADP,Automatic Data Processing Inc. Common Stock,$247.05 ,-1.74,-0.70%,1.02E+11,United States,,4050715,Consumer Discretionary,Business Services
87,ADPT,Adaptive Biotechnologies Corporation Common Stock,$8.01 ,-0.12,-1.48%,1145527378,United States,2019,1457760,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
88,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$3.25 ,-0.24,-6.88%,158625669,Ireland,,38696,Consumer Discretionary,Industrial Specialties
89,ADSEW,ADS-TEC ENERGY PLC Warrant,$0.19 ,-0.0449,-19.52%,0,Ireland,,8901,Consumer Discretionary,Industrial Specialties
90,ADSK,Autodesk Inc. Common Stock,$192.40 ,-1.71,-0.88%,41513665846,United States,,2262490,Technology,Computer Software: Prepackaged Software
91,ADTH,AdTheorent Holding Company Inc. Common Stock,$1.68 ,0.12,7.69%,145995926,United States,2021,206218,Consumer Discretionary,Advertising
92,ADTN,ADTRAN Holdings Inc. Common Stock,$18.94 ,-0.38,-1.97%,1470803485,United States,1994,2578143,Telecommunications,Telecommunications Equipment
93,ADTX,Aditxt Inc. Common Stock,$1.57 ,-0.06,-3.68%,6532973,United States,2020,50007,Health Care, Medicinal Chemicals and Botanical Products 
94,ADUS,Addus HomeCare Corporation Common Stock,$102.54 ,-1.09,-1.05%,1651956725,United States,2009,533956,Health Care,Medical/Nursing Services
95,ADV,Advantage Solutions Inc. Class A Common Stock,$1.89 ,-0.05,-2.58%,604203633,United States,2019,871662,Consumer Discretionary,Advertising
96,ADVM,Adverum Biotechnologies Inc. Common Stock,$0.62 ,-0.0125,-1.98%,61722294,United States,2014,2052853,Health Care,Biotechnology: Pharmaceutical Preparations
97,ADXN,Addex Therapeutics Ltd American Depositary Shares,$0.62 ,0.009,1.49%,11823202,Switzerland,,50830,Health Care,Biotechnology: Pharmaceutical Preparations
98,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$10.08 ,-0.0008,-0.01%,302400000,United States,2021,2800,Finance,Business Services
99,AEACU,Authentic Equity Acquisition Corp. Unit,$10.08 ,0.0366,0.36%,0,United States,2021,51340,Finance,Business Services
100,AEACW,Authentic Equity Acquisition Corp. Warrant,$0.01 ,0,0.00%,0,United States,2021,1,Finance,Business Services
